,Type,Days for shipment (scheduled),Category Name,Customer City,Customer Country,Customer Segment,Customer State,Department Name,Market,Order City,Order Country,Order Item Discount Rate,Order Item Quantity,Sales,Order Region,Order State,Product Name,Shipping Mode,Year,Month
10,DEBIT,4,Camping & Hiking,Caguas,Puerto Rico,Consumer,PR,Fan Shop,LATAM,Dos Quebradas,Colombia,0.170000002,1,299.980011,South America,Risaralda,Diamondback Women's Serene Classic Comfort Bi,Standard Class,2015,1
11,DEBIT,4,Camping & Hiking,Caguas,Puerto Rico,Consumer,PR,Fan Shop,LATAM,Dos Quebradas,Colombia,0.180000007,1,299.980011,South America,Risaralda,Diamondback Women's Serene Classic Comfort Bi,Standard Class,2015,1
12,DEBIT,4,Men's Footwear,Caguas,Puerto Rico,Consumer,PR,Apparel,LATAM,Dos Quebradas,Colombia,0.159999996,1,129.9900055,South America,Risaralda,Nike Men's CJ Elite 2 TD Football Cleat,Standard Class,2015,1
15,DEBIT,2,Water Sports,Miami,EE. UU.,Consumer,FL,Fan Shop,LATAM,São Paulo,Brasil,0.02,1,199.9900055,South America,São Paulo,Pelican Sunstream 100 Kayak,Second Class,2015,1
14,DEBIT,2,Trade-In,Miami,EE. UU.,Consumer,FL,Outdoors,LATAM,São Paulo,Brasil,0.029999999,5,79.94999695,South America,São Paulo,Glove It Imperial Golf Towel,Second Class,2015,1
13,DEBIT,2,Camping & Hiking,Miami,EE. UU.,Consumer,FL,Fan Shop,LATAM,São Paulo,Brasil,0.159999996,1,299.980011,South America,São Paulo,Diamondback Women's Serene Classic Comfort Bi,Second Class,2015,1
16,TRANSFER,4,Cleats,Caguas,Puerto Rico,Corporate,PR,Apparel,LATAM,São Paulo,Brasil,0.25,5,299.9500122,South America,São Paulo,Perfect Fitness Perfect Rip Deck,Standard Class,2015,1
17,TRANSFER,4,Indoor/Outdoor Games,Caguas,Puerto Rico,Corporate,PR,Fan Shop,LATAM,São Paulo,Brasil,0.180000007,4,199.9199982,South America,São Paulo,O'Brien Men's Neoprene Life Vest,Standard Class,2015,1
18,TRANSFER,4,Women's Apparel,Caguas,Puerto Rico,Corporate,PR,Golf,LATAM,São Paulo,Brasil,0.01,1,50.0,South America,São Paulo,Nike Men's Dri-FIT Victory Golf Polo,Standard Class,2015,1
19,TRANSFER,4,Cleats,Caguas,Puerto Rico,Corporate,PR,Apparel,LATAM,São Paulo,Brasil,0.170000002,3,179.9700012,South America,São Paulo,Perfect Fitness Perfect Rip Deck,Standard Class,2015,1
20,PAYMENT,4,Cardio Equipment,Lakewood,EE. UU.,Consumer,OH,Footwear,LATAM,São Paulo,Brasil,0.050000001,2,199.9799957,South America,São Paulo,Nike Men's Free 5.0+ Running Shoe,Standard Class,2015,1
21,PAYMENT,4,Water Sports,Lakewood,EE. UU.,Consumer,OH,Fan Shop,LATAM,São Paulo,Brasil,0.0,1,199.9900055,South America,São Paulo,Pelican Sunstream 100 Kayak,Standard Class,2015,1
22,PAYMENT,4,Water Sports,Lakewood,EE. UU.,Consumer,OH,Fan Shop,LATAM,São Paulo,Brasil,0.01,1,199.9900055,South America,São Paulo,Pelican Sunstream 100 Kayak,Standard Class,2015,1
23,PAYMENT,4,Water Sports,Memphis,EE. UU.,Corporate,TN,Fan Shop,LATAM,São Paulo,Brasil,0.25,1,199.9900055,South America,São Paulo,Pelican Sunstream 100 Kayak,Standard Class,2015,1
24,PAYMENT,4,Water Sports,Memphis,EE. UU.,Corporate,TN,Fan Shop,LATAM,São Paulo,Brasil,0.200000003,1,199.9900055,South America,São Paulo,Pelican Sunstream 100 Kayak,Standard Class,2015,1
25,PAYMENT,4,Trade-In,Memphis,EE. UU.,Corporate,TN,Outdoors,LATAM,São Paulo,Brasil,0.029999999,1,21.98999977,South America,São Paulo,Glove It Women's Mod Oval 3-Zip Carry All Gol,Standard Class,2015,1
26,PAYMENT,4,Indoor/Outdoor Games,Memphis,EE. UU.,Corporate,TN,Fan Shop,LATAM,São Paulo,Brasil,0.159999996,2,99.95999908,South America,São Paulo,O'Brien Men's Neoprene Life Vest,Standard Class,2015,1
27,PAYMENT,4,Men's Footwear,Memphis,EE. UU.,Corporate,TN,Apparel,LATAM,São Paulo,Brasil,0.150000006,1,129.9900055,South America,São Paulo,Nike Men's CJ Elite 2 TD Football Cleat,Standard Class,2015,1
32,PAYMENT,4,Shop By Sport,Caguas,Puerto Rico,Corporate,PR,Golf,LATAM,São Paulo,Brasil,0.050000001,4,159.9600067,South America,São Paulo,Under Armour Girls' Toddler Spine Surge Runni,Standard Class,2015,1
31,PAYMENT,4,Cleats,Caguas,Puerto Rico,Corporate,PR,Apparel,LATAM,São Paulo,Brasil,0.200000003,1,59.99000168,South America,São Paulo,Perfect Fitness Perfect Rip Deck,Standard Class,2015,1
28,PAYMENT,4,Cardio Equipment,Caguas,Puerto Rico,Corporate,PR,Footwear,LATAM,São Paulo,Brasil,0.059999999,4,399.9599915,South America,São Paulo,Nike Men's Free 5.0+ Running Shoe,Standard Class,2015,1
29,PAYMENT,4,Indoor/Outdoor Games,Caguas,Puerto Rico,Corporate,PR,Fan Shop,LATAM,São Paulo,Brasil,0.170000002,1,49.97999954,South America,São Paulo,O'Brien Men's Neoprene Life Vest,Standard Class,2015,1
30,PAYMENT,4,Indoor/Outdoor Games,Caguas,Puerto Rico,Corporate,PR,Fan Shop,LATAM,São Paulo,Brasil,0.090000004,5,249.8999939,South America,São Paulo,O'Brien Men's Neoprene Life Vest,Standard Class,2015,1
33,CASH,4,Hockey,Caguas,Puerto Rico,Home Office,PR,Fitness,LATAM,Managua,Nicaragua,0.129999995,4,100.0,Central America,Managua,Nike Women's Legend V-Neck T-Shirt,Standard Class,2015,1
34,CASH,4,Camping & Hiking,Caguas,Puerto Rico,Home Office,PR,Fan Shop,LATAM,Managua,Nicaragua,0.150000006,1,299.980011,Central America,Managua,Diamondback Women's Serene Classic Comfort Bi,Standard Class,2015,1
35,CASH,4,Cardio Equipment,Caguas,Puerto Rico,Home Office,PR,Footwear,LATAM,Managua,Nicaragua,0.02,5,499.9500122,Central America,Managua,Nike Men's Free 5.0+ Running Shoe,Standard Class,2015,1
36,CASH,4,Indoor/Outdoor Games,Caguas,Puerto Rico,Home Office,PR,Fan Shop,LATAM,Managua,Nicaragua,0.119999997,3,149.9400024,Central America,Managua,O'Brien Men's Neoprene Life Vest,Standard Class,2015,1
37,CASH,4,Women's Apparel,Caguas,Puerto Rico,Home Office,PR,Golf,LATAM,Managua,Nicaragua,0.07,5,250.0,Central America,Managua,Nike Men's Dri-FIT Victory Golf Polo,Standard Class,2015,1
38,PAYMENT,4,Electronics,Santa Ana,EE. UU.,Consumer,CA,Footwear,LATAM,Managua,Nicaragua,0.200000003,4,127.9599991,Central America,Managua,Under Armour Women's Ignite Slide,Standard Class,2015,1
39,TRANSFER,4,Indoor/Outdoor Games,Caguas,Puerto Rico,Consumer,PR,Fan Shop,LATAM,Managua,Nicaragua,0.150000006,2,99.95999908,Central America,Managua,O'Brien Men's Neoprene Life Vest,Standard Class,2015,1
40,TRANSFER,4,Women's Apparel,Caguas,Puerto Rico,Consumer,PR,Golf,LATAM,Managua,Nicaragua,0.0,1,50.0,Central America,Managua,Nike Men's Dri-FIT Victory Golf Polo,Standard Class,2015,1
41,TRANSFER,4,Fishing,Caguas,Puerto Rico,Consumer,PR,Fan Shop,LATAM,Managua,Nicaragua,0.180000007,1,399.980011,Central America,Managua,Field & Stream Sportsman 16 Gun Fire Safe,Standard Class,2015,1
46,DEBIT,4,Fishing,Memphis,EE. UU.,Consumer,TN,Fan Shop,LATAM,Brasília,Brasil,0.170000002,1,399.980011,South America,Distrito Federal,Field & Stream Sportsman 16 Gun Fire Safe,Standard Class,2015,1
45,DEBIT,4,Women's Apparel,Memphis,EE. UU.,Consumer,TN,Golf,LATAM,Brasília,Brasil,0.25,1,50.0,South America,Distrito Federal,Nike Men's Dri-FIT Victory Golf Polo,Standard Class,2015,1
44,DEBIT,4,Cleats,Memphis,EE. UU.,Consumer,TN,Apparel,LATAM,Brasília,Brasil,0.159999996,3,179.9700012,South America,Distrito Federal,Perfect Fitness Perfect Rip Deck,Standard Class,2015,1
42,DEBIT,4,Water Sports,Memphis,EE. UU.,Consumer,TN,Fan Shop,LATAM,Brasília,Brasil,0.180000007,1,199.9900055,South America,Distrito Federal,Pelican Sunstream 100 Kayak,Standard Class,2015,1
43,DEBIT,4,Electronics,Memphis,EE. UU.,Consumer,TN,Outdoors,LATAM,Brasília,Brasil,0.07,3,95.97000122,South America,Distrito Federal,Bridgestone e6 Straight Distance NFL San Dieg,Standard Class,2015,1
47,PAYMENT,4,Cleats,Caguas,Puerto Rico,Consumer,PR,Apparel,LATAM,Brasília,Brasil,0.200000003,5,299.9500122,South America,Distrito Federal,Perfect Fitness Perfect Rip Deck,Standard Class,2015,1
48,PAYMENT,4,Cleats,Caguas,Puerto Rico,Consumer,PR,Apparel,LATAM,Brasília,Brasil,0.07,2,119.9800034,South America,Distrito Federal,Perfect Fitness Perfect Rip Deck,Standard Class,2015,1
49,DEBIT,4,Golf Balls,Sun Valley,EE. UU.,Corporate,CA,Outdoors,LATAM,San Miguelito,Panamá,0.25,4,79.95999908,Central America,Panamá,Glove It Women's Mod Oval Golf Glove,Standard Class,2015,1
50,DEBIT,4,Cleats,Sun Valley,EE. UU.,Corporate,CA,Apparel,LATAM,San Miguelito,Panamá,0.150000006,4,239.9600067,Central America,Panamá,Perfect Fitness Perfect Rip Deck,Standard Class,2015,1
51,DEBIT,4,Water Sports,Sun Valley,EE. UU.,Corporate,CA,Fan Shop,LATAM,San Miguelito,Panamá,0.170000002,1,199.9900055,Central America,Panamá,Pelican Sunstream 100 Kayak,Standard Class,2015,1
52,DEBIT,4,Indoor/Outdoor Games,Sun Valley,EE. UU.,Corporate,CA,Fan Shop,LATAM,San Miguelito,Panamá,0.129999995,2,99.95999908,Central America,Panamá,O'Brien Men's Neoprene Life Vest,Standard Class,2015,1
53,DEBIT,4,Lacrosse,Sun Valley,EE. UU.,Corporate,CA,Fitness,LATAM,San Miguelito,Panamá,0.25,3,74.97000122,Central America,Panamá,Under Armour Men's Tech II T-Shirt,Standard Class,2015,1
56,CASH,4,Cleats,Miami,EE. UU.,Corporate,FL,Apparel,LATAM,San Miguelito,Panamá,0.059999999,2,119.9800034,Central America,Panamá,Perfect Fitness Perfect Rip Deck,Standard Class,2015,1
54,CASH,4,Water Sports,Miami,EE. UU.,Corporate,FL,Fan Shop,LATAM,San Miguelito,Panamá,0.159999996,1,199.9900055,Central America,Panamá,Pelican Sunstream 100 Kayak,Standard Class,2015,1
55,CASH,4,Men's Footwear,Miami,EE. UU.,Corporate,FL,Apparel,LATAM,San Miguelito,Panamá,0.129999995,1,129.9900055,Central America,Panamá,Nike Men's CJ Elite 2 TD Football Cleat,Standard Class,2015,1
58,PAYMENT,4,Fishing,Hialeah,EE. UU.,Corporate,FL,Fan Shop,LATAM,San Miguelito,Panamá,0.159999996,1,399.980011,Central America,Panamá,Field & Stream Sportsman 16 Gun Fire Safe,Standard Class,2015,1
57,PAYMENT,4,Camping & Hiking,Hialeah,EE. UU.,Corporate,FL,Fan Shop,LATAM,San Miguelito,Panamá,0.129999995,1,299.980011,Central America,Panamá,Diamondback Women's Serene Classic Comfort Bi,Standard Class,2015,1
59,TRANSFER,4,Women's Apparel,Bowling Green,EE. UU.,Consumer,KY,Golf,LATAM,San Miguelito,Panamá,0.059999999,5,250.0,Central America,Panamá,Nike Men's Dri-FIT Victory Golf Polo,Standard Class,2015,1
60,TRANSFER,4,Cleats,Bowling Green,EE. UU.,Consumer,KY,Apparel,LATAM,San Miguelito,Panamá,0.180000007,5,299.9500122,Central America,Panamá,Perfect Fitness Perfect Rip Deck,Standard Class,2015,1
61,TRANSFER,4,Men's Footwear,Bowling Green,EE. UU.,Consumer,KY,Apparel,LATAM,San Miguelito,Panamá,0.119999997,1,129.9900055,Central America,Panamá,Nike Men's CJ Elite 2 TD Football Cleat,Standard Class,2015,1
62,TRANSFER,4,Indoor/Outdoor Games,Bowling Green,EE. UU.,Consumer,KY,Fan Shop,LATAM,San Miguelito,Panamá,0.170000002,4,199.9199982,Central America,Panamá,O'Brien Men's Neoprene Life Vest,Standard Class,2015,1
63,TRANSFER,1,Electronics,Bronx,EE. UU.,Consumer,NY,Footwear,LATAM,San Cristóbal de Las Casas,México,0.180000007,4,127.9599991,Central America,Chiapas,Under Armour Women's Ignite Slide,First Class,2015,1
64,TRANSFER,1,Accessories,Bronx,EE. UU.,Consumer,NY,Outdoors,LATAM,San Cristóbal de Las Casas,México,0.200000003,3,74.97000122,Central America,Chiapas,Team Golf New England Patriots Putter Grip,First Class,2015,1
65,TRANSFER,1,Women's Apparel,Bronx,EE. UU.,Consumer,NY,Golf,LATAM,San Cristóbal de Las Casas,México,0.119999997,2,100.0,Central America,Chiapas,Nike Men's Dri-FIT Victory Golf Polo,First Class,2015,1
66,TRANSFER,1,Baseball & Softball,Bronx,EE. UU.,Consumer,NY,Fitness,LATAM,San Cristóbal de Las Casas,México,0.200000003,2,69.98000336,Central America,Chiapas,adidas Kids' F5 Messi FG Soccer Cleat,First Class,2015,1
67,PAYMENT,2,Camping & Hiking,Springfield,EE. UU.,Home Office,MO,Fan Shop,LATAM,Santiago de Chile,Chile,0.119999997,1,299.980011,South America,Santiago de Chile,Diamondback Women's Serene Classic Comfort Bi,Second Class,2015,1
71,CASH,2,Water Sports,Lutz,EE. UU.,Consumer,FL,Fan Shop,LATAM,Panama City,Panamá,0.150000006,1,199.9900055,Central America,Panamá,Pelican Sunstream 100 Kayak,Second Class,2015,1
70,CASH,2,Water Sports,Lutz,EE. UU.,Consumer,FL,Fan Shop,LATAM,Panama City,Panamá,0.129999995,1,199.9900055,Central America,Panamá,Pelican Sunstream 100 Kayak,Second Class,2015,1
72,CASH,2,Men's Footwear,Lutz,EE. UU.,Consumer,FL,Apparel,LATAM,Panama City,Panamá,0.100000001,1,129.9900055,Central America,Panamá,Nike Men's CJ Elite 2 TD Football Cleat,Second Class,2015,1
68,CASH,2,Women's Apparel,Lutz,EE. UU.,Consumer,FL,Golf,LATAM,Panama City,Panamá,0.200000003,1,50.0,Central America,Panamá,Nike Men's Dri-FIT Victory Golf Polo,Second Class,2015,1
69,CASH,2,Women's Apparel,Lutz,EE. UU.,Consumer,FL,Golf,LATAM,Panama City,Panamá,0.050000001,5,250.0,Central America,Panamá,Nike Men's Dri-FIT Victory Golf Polo,Second Class,2015,1
73,CASH,2,Fishing,Orlando,EE. UU.,Home Office,FL,Fan Shop,LATAM,Hermosillo,México,0.150000006,1,399.980011,Central America,Sonora,Field & Stream Sportsman 16 Gun Fire Safe,Second Class,2015,1
74,PAYMENT,2,Water Sports,Caguas,Puerto Rico,Consumer,PR,Fan Shop,LATAM,Coyoacán,México,0.119999997,1,199.9900055,Central America,Distrito Federal,Pelican Sunstream 100 Kayak,Second Class,2015,1
75,PAYMENT,2,Fishing,Caguas,Puerto Rico,Consumer,PR,Fan Shop,LATAM,Coyoacán,México,0.129999995,1,399.980011,Central America,Distrito Federal,Field & Stream Sportsman 16 Gun Fire Safe,Second Class,2015,1
76,PAYMENT,2,Women's Apparel,Caguas,Puerto Rico,Consumer,PR,Golf,LATAM,Coyoacán,México,0.170000002,3,150.0,Central America,Distrito Federal,Nike Men's Dri-FIT Victory Golf Polo,Second Class,2015,1
77,DEBIT,4,Cardio Equipment,Pomona,EE. UU.,Corporate,CA,Footwear,LATAM,Tegucigalpa,Honduras,0.200000003,1,99.98999786,Central America,Francisco Morazán,Nike Men's Free 5.0+ Running Shoe,Standard Class,2015,1
78,DEBIT,4,Camping & Hiking,Pomona,EE. UU.,Corporate,CA,Fan Shop,LATAM,Tegucigalpa,Honduras,0.100000001,1,299.980011,Central America,Francisco Morazán,Diamondback Women's Serene Classic Comfort Bi,Standard Class,2015,1
79,DEBIT,4,Cleats,Pomona,EE. UU.,Corporate,CA,Apparel,LATAM,Tegucigalpa,Honduras,0.180000007,1,59.99000168,Central America,Francisco Morazán,Perfect Fitness Perfect Rip Deck,Standard Class,2015,1
80,DEBIT,4,Cardio Equipment,Pomona,EE. UU.,Corporate,CA,Footwear,LATAM,Tegucigalpa,Honduras,0.050000001,4,399.9599915,Central America,Francisco Morazán,Nike Men's Free 5.0+ Running Shoe,Standard Class,2015,1
81,DEBIT,4,Camping & Hiking,Pomona,EE. UU.,Corporate,CA,Fan Shop,LATAM,Tegucigalpa,Honduras,0.090000004,1,299.980011,Central America,Francisco Morazán,Diamondback Women's Serene Classic Comfort Bi,Standard Class,2015,1
85,TRANSFER,4,Men's Footwear,Dearborn,EE. UU.,Home Office,MI,Apparel,LATAM,Tegucigalpa,Honduras,0.07,1,129.9900055,Central America,Francisco Morazán,Nike Men's CJ Elite 2 TD Football Cleat,Standard Class,2015,1
82,TRANSFER,4,Indoor/Outdoor Games,Dearborn,EE. UU.,Home Office,MI,Fan Shop,LATAM,Tegucigalpa,Honduras,0.07,5,249.8999939,Central America,Francisco Morazán,O'Brien Men's Neoprene Life Vest,Standard Class,2015,1
83,TRANSFER,4,Men's Footwear,Dearborn,EE. UU.,Home Office,MI,Apparel,LATAM,Tegucigalpa,Honduras,0.090000004,1,129.9900055,Central America,Francisco Morazán,Nike Men's CJ Elite 2 TD Football Cleat,Standard Class,2015,1
84,TRANSFER,4,Water Sports,Dearborn,EE. UU.,Home Office,MI,Fan Shop,LATAM,Tegucigalpa,Honduras,0.100000001,1,199.9900055,Central America,Francisco Morazán,Pelican Sunstream 100 Kayak,Standard Class,2015,1
86,TRANSFER,4,Fishing,Dearborn,EE. UU.,Home Office,MI,Fan Shop,LATAM,Tegucigalpa,Honduras,0.119999997,1,399.980011,Central America,Francisco Morazán,Field & Stream Sportsman 16 Gun Fire Safe,Standard Class,2015,1
87,PAYMENT,4,Women's Apparel,Conway,EE. UU.,Consumer,AR,Golf,LATAM,Tegucigalpa,Honduras,0.100000001,2,100.0,Central America,Francisco Morazán,Nike Men's Dri-FIT Victory Golf Polo,Standard Class,2015,1
88,PAYMENT,4,Cardio Equipment,Caguas,Puerto Rico,Consumer,PR,Footwear,LATAM,Tegucigalpa,Honduras,0.01,5,499.9500122,Central America,Francisco Morazán,Nike Men's Free 5.0+ Running Shoe,Standard Class,2015,1
89,PAYMENT,1,Indoor/Outdoor Games,Caguas,Puerto Rico,Consumer,PR,Fan Shop,LATAM,Tegucigalpa,Honduras,0.159999996,4,199.9199982,Central America,Francisco Morazán,O'Brien Men's Neoprene Life Vest,First Class,2015,1
90,PAYMENT,1,Men's Footwear,Caguas,Puerto Rico,Consumer,PR,Apparel,LATAM,Tegucigalpa,Honduras,0.050000001,1,129.9900055,Central America,Francisco Morazán,Nike Men's CJ Elite 2 TD Football Cleat,First Class,2015,1
91,PAYMENT,1,Men's Footwear,Caguas,Puerto Rico,Consumer,PR,Apparel,LATAM,Tegucigalpa,Honduras,0.059999999,1,129.9900055,Central America,Francisco Morazán,Nike Men's CJ Elite 2 TD Football Cleat,First Class,2015,1
92,PAYMENT,1,Water Sports,Caguas,Puerto Rico,Consumer,PR,Fan Shop,LATAM,Tegucigalpa,Honduras,0.090000004,1,199.9900055,Central America,Francisco Morazán,Pelican Sunstream 100 Kayak,First Class,2015,1
93,TRANSFER,1,Camping & Hiking,Los Angeles,EE. UU.,Consumer,CA,Fan Shop,LATAM,Tegucigalpa,Honduras,0.07,1,299.980011,Central America,Francisco Morazán,Diamondback Women's Serene Classic Comfort Bi,First Class,2015,1
94,DEBIT,2,Men's Footwear,Irving,EE. UU.,Consumer,TX,Apparel,LATAM,Mexico City,México,0.039999999,1,129.9900055,Central America,Distrito Federal,Nike Men's CJ Elite 2 TD Football Cleat,Second Class,2015,1
95,TRANSFER,2,Camping & Hiking,Caguas,Puerto Rico,Consumer,PR,Fan Shop,LATAM,Mexico City,México,0.059999999,1,299.980011,Central America,Distrito Federal,Diamondback Women's Serene Classic Comfort Bi,Second Class,2015,1
96,TRANSFER,2,Fishing,Caguas,Puerto Rico,Consumer,PR,Fan Shop,LATAM,Mexico City,México,0.100000001,1,399.980011,Central America,Distrito Federal,Field & Stream Sportsman 16 Gun Fire Safe,Second Class,2015,1
97,TRANSFER,2,Women's Apparel,Caguas,Puerto Rico,Consumer,PR,Golf,LATAM,Mexico City,México,0.090000004,2,100.0,Central America,Distrito Federal,Nike Men's Dri-FIT Victory Golf Polo,Second Class,2015,1
98,CASH,2,Accessories,Cordova,EE. UU.,Corporate,TN,Outdoors,LATAM,Mexico City,México,0.119999997,4,99.95999908,Central America,Distrito Federal,Team Golf Tennessee Volunteers Putter Grip,Second Class,2015,1
99,CASH,2,Cleats,Cordova,EE. UU.,Corporate,TN,Apparel,LATAM,Mexico City,México,0.170000002,1,59.99000168,Central America,Distrito Federal,Perfect Fitness Perfect Rip Deck,Second Class,2015,1
101,TRANSFER,2,Shop By Sport,New Orleans,EE. UU.,Corporate,LA,Golf,LATAM,Artemisa,Cuba,0.039999999,4,159.9600067,Caribbean,Artemisa,Under Armour Girls' Toddler Spine Surge Runni,Second Class,2015,1
100,TRANSFER,2,Women's Apparel,New Orleans,EE. UU.,Corporate,LA,Golf,LATAM,Artemisa,Cuba,0.159999996,4,200.0,Caribbean,Artemisa,Nike Men's Dri-FIT Victory Golf Polo,Second Class,2015,1
102,TRANSFER,2,Water Sports,North Hills,EE. UU.,Consumer,CA,Fan Shop,LATAM,Artemisa,Cuba,0.07,1,199.9900055,Caribbean,Artemisa,Pelican Sunstream 100 Kayak,Second Class,2015,1
103,PAYMENT,1,Indoor/Outdoor Games,Saint Charles,EE. UU.,Home Office,MO,Fan Shop,LATAM,La Romana,República Dominicana,0.150000006,4,199.9199982,Caribbean,La Romana,O'Brien Men's Neoprene Life Vest,First Class,2015,1
104,PAYMENT,1,Electronics,Saint Charles,EE. UU.,Home Office,MO,Outdoors,LATAM,La Romana,República Dominicana,0.170000002,4,127.9599991,Caribbean,La Romana,Bridgestone e6 Straight Distance NFL Tennesse,First Class,2015,1
105,TRANSFER,1,Shop By Sport,Endicott,EE. UU.,Consumer,NY,Golf,LATAM,Milpa Alta,México,0.170000002,1,39.99000168,Central America,Distrito Federal,Under Armour Girls' Toddler Spine Surge Runni,First Class,2015,1
106,TRANSFER,1,Fishing,Endicott,EE. UU.,Consumer,NY,Fan Shop,LATAM,Milpa Alta,México,0.090000004,1,399.980011,Central America,Distrito Federal,Field & Stream Sportsman 16 Gun Fire Safe,First Class,2015,1
107,TRANSFER,1,Cleats,Endicott,EE. UU.,Consumer,NY,Apparel,LATAM,Milpa Alta,México,0.170000002,5,299.9500122,Central America,Distrito Federal,Perfect Fitness Perfect Rip Deck,First Class,2015,1
108,PAYMENT,1,Cardio Equipment,Caguas,Puerto Rico,Consumer,PR,Footwear,LATAM,San Juan del Río,México,0.180000007,1,99.98999786,Central America,Querétaro,Nike Men's Free 5.0+ Running Shoe,First Class,2015,1
109,PAYMENT,1,Camping & Hiking,Caguas,Puerto Rico,Consumer,PR,Fan Shop,LATAM,San Juan del Río,México,0.050000001,1,299.980011,Central America,Querétaro,Diamondback Women's Serene Classic Comfort Bi,First Class,2015,1
110,PAYMENT,1,Men's Footwear,Caguas,Puerto Rico,Consumer,PR,Apparel,LATAM,San Juan del Río,México,0.029999999,1,129.9900055,Central America,Querétaro,Nike Men's CJ Elite 2 TD Football Cleat,First Class,2015,1
111,TRANSFER,4,Fishing,Caguas,Puerto Rico,Consumer,PR,Fan Shop,LATAM,San Juan del Río,México,0.07,1,399.980011,Central America,Querétaro,Field & Stream Sportsman 16 Gun Fire Safe,Standard Class,2015,1
114,DEBIT,4,Cleats,Caguas,Puerto Rico,Corporate,PR,Apparel,LATAM,San Juan del Río,México,0.159999996,1,59.99000168,Central America,Querétaro,Perfect Fitness Perfect Rip Deck,Standard Class,2015,1
112,DEBIT,4,Shop By Sport,Caguas,Puerto Rico,Corporate,PR,Golf,LATAM,San Juan del Río,México,0.159999996,5,199.9499969,Central America,Querétaro,Under Armour Girls' Toddler Spine Surge Runni,Standard Class,2015,1
113,DEBIT,4,Trade-In,Caguas,Puerto Rico,Corporate,PR,Outdoors,LATAM,San Juan del Río,México,0.02,5,79.94999695,Central America,Querétaro,Glove It Urban Brick Golf Towel,Standard Class,2015,1
115,DEBIT,4,Shop By Sport,Caguas,Puerto Rico,Corporate,PR,Golf,LATAM,San Juan del Río,México,0.029999999,4,159.9600067,Central America,Querétaro,Under Armour Girls' Toddler Spine Surge Runni,Standard Class,2015,1
117,DEBIT,4,Indoor/Outdoor Games,Oregon City,EE. UU.,Corporate,OR,Fan Shop,LATAM,Goiânia,Brasil,0.100000001,2,99.95999908,South America,Goiás,O'Brien Men's Neoprene Life Vest,Standard Class,2015,1
116,DEBIT,4,Men's Footwear,Oregon City,EE. UU.,Corporate,OR,Apparel,LATAM,Goiânia,Brasil,0.02,1,129.9900055,South America,Goiás,Nike Men's CJ Elite 2 TD Football Cleat,Standard Class,2015,1
118,TRANSFER,4,Accessories,Flushing,EE. UU.,Consumer,NY,Outdoors,LATAM,Santo Domingo,República Dominicana,0.150000006,2,49.97999954,Caribbean,Santo Domingo,Team Golf San Francisco Giants Putter Grip,Standard Class,2015,1
